H [m],qc [MPa],fs [MPa],u2 [MPa],Incl. [°],v [m/s],Rf [],Uo [MPa],qt [MPa],ft [MPa],sigmaVo [MPa],sigma'Vo [MPa],qt-sigmaVo [MPa],Qt [],Fr [],Bq [],Rf(qc) [],Uh [MPa],Rfd [],soil [],L [m],D [m],UW [kN/m^3]
0.00,0.181,0.000,0.0003,1.2,0.000,0.000,0.000,0.181,0.000,0.000,0.000,0.181,18074.801,0.000,0.0017,0.000,0.000,0.000,1,0.00,0.00,17.50
0.02,0.557,0.000,0.0025,1.3,0.170,0.000,0.000,0.558,0.000,0.000,0.000,0.557,1591.857,0.000,0.0045,0.000,0.000,0.000,1,0.02,0.02,17.50
0.04,0.499,0.000,0.0250,1.3,0.210,0.000,0.000,0.503,0.000,0.001,0.001,0.502,717.429,0.020,0.0498,0.000,0.000,0.000,1,0.04,0.04,17.50
0.06,0.395,0.000,0.0394,1.3,0.210,0.000,0.000,0.401,0.000,0.001,0.001,0.400,381.099,0.025,0.0985,0.000,0.000,0.000,1,0.06,0.06,17.50
0.08,0.465,0.000,0.0226,1.3,0.180,0.000,0.000,0.469,0.000,0.001,0.001,0.468,334.011,0.000,0.0483,0.000,0.000,0.000,1,0.08,0.08,17.50
0.10,0.531,0.000,0.0236,1.3,0.170,0.000,0.000,0.535,0.000,0.002,0.002,0.534,304.872,0.000,0.0442,0.000,0.000,0.000,1,0.10,0.10,17.50
0.12,0.684,0.000,-0.0027,1.3,0.160,0.000,0.000,0.684,0.000,0.002,0.002,0.681,324.509,0.015,-0.0040,0.000,0.000,0.014,1,0.12,0.12,17.50
0.14,0.748,0.000,-0.0088,1.3,0.170,0.000,0.000,0.746,0.000,0.002,0.002,0.744,303.527,0.013,-0.0118,0.000,0.000,0.013,1,0.14,0.14,17.50
0.16,0.840,0.000,-0.0097,1.3,0.160,0.000,0.000,0.839,0.000,0.003,0.003,0.836,298.481,0.012,-0.0116,0.000,0.000,0.012,1,0.16,0.16,17.50
0.18,0.884,0.000,-0.0059,1.3,0.150,0.000,0.000,0.883,0.000,0.003,0.003,0.880,279.367,0.011,-0.0067,0.000,0.000,0.011,6,0.18,0.18,17.50
0.20,1.037,0.000,-0.0062,1.3,0.150,0.000,0.000,1.036,0.000,0.004,0.004,1.032,294.045,0.010,-0.0060,0.000,0.000,0.010,6,0.20,0.20,18.00
