H [m],qc [MPa],fs [MPa],u2 [MPa],Incl. [°],v [m/s],Rf [],Uo [MPa],qt [MPa],ft [MPa],sigmaVo [MPa],sigma'Vo [MPa],qt-sigmaVo [MPa],Qt [],Fr [],Bq [],Rf(qc) [],Uh [MPa],Rfd [],soil [],L [m],D [m],UW [kN/m^3]
0.00,0.257,0.000,0.0016,0.7,0.000,0.000,0.000,0.257,0.000,0.000,0.000,0.257,25675.602,0.039,0.0062,0.000,0.000,0.000,1,0.00,0.00,17.50
0.02,0.306,0.000,0.0415,0.8,0.390,0.000,0.000,0.313,0.000,0.000,0.000,0.312,891.971,0.032,0.1329,0.000,0.000,0.000,1,0.02,0.02,17.50
0.04,0.577,0.000,0.0135,0.6,0.390,0.000,0.000,0.580,0.000,0.001,0.001,0.579,826.943,0.017,0.0233,0.000,0.000,0.000,1,0.04,0.04,17.50
0.06,0.711,0.000,0.0135,0.7,0.390,0.000,0.000,0.713,0.000,0.001,0.001,0.712,677.724,0.014,0.0190,0.000,0.000,0.000,1,0.06,0.06,17.50
0.08,0.711,0.000,0.0035,0.7,0.390,0.000,0.000,0.711,0.000,0.001,0.001,0.710,506.900,0.014,0.0049,0.000,0.000,0.000,1,0.08,0.08,17.50
0.10,0.839,0.000,0.0001,0.7,0.350,0.000,0.000,0.839,0.000,0.002,0.002,0.837,478.552,0.012,0.0001,0.000,0.000,0.013,1,0.10,0.10,17.50
0.12,0.868,0.000,0.0012,0.6,0.170,0.000,0.000,0.868,0.000,0.002,0.002,0.866,412.568,0.012,0.0014,0.000,0.000,0.012,1,0.12,0.12,17.50
0.14,0.945,0.000,-0.0048,0.6,0.150,0.000,0.000,0.944,0.000,0.002,0.002,0.942,384.401,0.011,-0.0051,0.000,0.000,0.012,1,0.14,0.14,17.50
0.16,1.002,0.000,0.0068,0.6,0.300,0.000,0.000,1.003,0.000,0.003,0.003,1.001,356.078,0.010,0.0068,0.000,0.000,0.011,1,0.16,0.16,18.00
0.18,1.002,0.000,-0.0010,0.6,0.300,0.000,0.000,1.002,0.000,0.003,0.003,0.999,315.132,0.010,-0.0010,0.000,0.000,0.011,1,0.18,0.18,18.00
0.20,0.985,0.000,-0.0053,0.6,0.300,0.000,0.000,0.985,0.000,0.004,0.004,0.981,277.938,0.010,-0.0054,0.000,0.000,0.011,1,0.20,0.20,18.00
0.22,0.944,0.000,-0.0017,0.5,0.300,0.000,0.000,0.944,0.000,0.004,0.004,0.940,242.255,0.021,-0.0018,0.000,0.000,0.022,1,0.22,0.22,17.50
0.24,0.910,0.000,-0.0017,0.5,0.300,0.000,0.000,0.909,0.000,0.004,0.004,0.905,213.995,0.022,-0.0019,0.000,0.000,0.022,1,0.24,0.24,17.50
0.26,0.837,0.000,-0.0034,0.5,0.240,0.000,0.000,0.837,0.000,0.005,0.005,0.832,181.720,0.012,-0.0041,0.000,0.000,0.011,1,0.26,0.26,17.50
